Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,User_Score,,Year_of_Release,User_Score,Global_Sales,Name,Platform,User_Score
Super Mario 3D World,WiiU,2013,Platform,Nintendo,4.32,9,,2013,9,4.32,Super Mario 3D World,WiiU,9
Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,4.29,4.9,,2014,4.9,4.29,Call of Duty: Advanced Warfare,X360,4.9
FIFA 15,PS3,2014,Sports,Electronic Arts,4.28,4.5,,2014,4.5,4.28,FIFA 15,PS3,4.5
Fable II,X360,2008,Role-Playing,Microsoft Game Studios,4.27,6.5,,2008,6.5,4.27,Fable II,X360,6.5
Namco Museum,GBA,2001,Misc,Namco Bandai Games,4.24,7.3,,2001,7.3,4.24,Namco Museum,GBA,7.3
Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,4.23,8.9,,2009,8.9,4.23,Batman: Arkham Asylum,PS3,8.9
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,4.23,9.3,,2004,9.3,4.23,Metal Gear Solid 3: Snake Eater,PS2,9.3
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,4.22,7.5,,2011,7.5,4.22,Assassin's Creed: Revelations,PS3,7.5
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,4.22,6.2,,2015,6.2,4.22,Fallout 4,XOne,6.2
FIFA 14,X360,2013,Sports,Electronic Arts,4.22,4.2,,2013,4.2,4.22,FIFA 14,X360,4.2
Daxter,PSP,2006,Platform,Sony Computer Entertainment,4.21,8.7,,2006,8.7,4.21,Daxter,PSP,8.7
FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,4.21,7.8,,2005,7.8,4.21,FIFA Soccer 06,PS2,7.8
EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,4.2,7.5,,2003,7.5,4.2,EyeToy Play,PS2,7.5
Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,4.19,7.1,,2007,7.1,4.19,Gran Turismo 5 Prologue,PS3,7.1
